comment_text,comment_speed,comment_service,comment_taste,comment_time
Sipariş içeriğinde yazan hiç bir şey gelmedi sanırım hayatımda yediğim en kötü tosttu büyük boy kola parası verdim ama küçük boy geldi.,2.0,1.0,1.0,1606415143
Lezzet sıfır.,1.0,1.0,1.0,1606415143
"Servis aşırı yavaş, kurye abimiz iyi, tavuk şiş prosmosyona aldanım 1. 5 porsiyon aldım değil 1 bucuk yarim lavasi doldurmayacak kadardı. Böyle devam.",1.0,1.0,1.0,1606415143
"Joker indirimi olmasına rağmen oldukça hızlıydı. Tavuk döner dürüm doyurucu, nohutlu tavuklu (tavuk döner) pilav çok lezzetliydi, adana kebap dürüm biraz zayıftı.",10.0,10.0,9.0,1606328743
"Her şey mükemmeldi, sadece dürümün içindeki biberler birazcık azıcık ufacık miniminnacık acıydı. Nükleer santral yemiş kadar olduk. Teşekkürler (:.",10.0,10.0,10.0,1606242343
Mükemmeldi elinize sağlık.,10.0,10.0,10.0,1606242343
Enfesti gelen kurye arkadaş güleryüzlü olması da memnun edici 10 10 10.,10.0,10.0,10.0,1606242343
Patatesler çok kötüydü.,7.0,7.0,7.0,1606155943
Adana dürümle alakası yoktu hiç begenmedim.,6.0,1.0,1.0,1606155943
Ellerinize sağlık gayet güzeldi.,8.0,6.0,8.0,1606155943
Leziz.,10.0,10.0,10.0,1606069543
Gerçekten çok lezzetli yapıyorsunuz ellerinize emeğinize sağlık.,8.0,9.0,10.0,1605983143
Hizli ve lezzetli bir donerdi. Ellerinize sağlık.,7.0,7.0,7.0,1605983143
Içecek yanlış gelmişti ama gayet lezzetli teşekkürler.,10.0,10.0,10.0,1605810343
Joker olmasına rağmen çok iyiydi teşekkürler.,10.0,10.0,10.0,1605810343
Kebap tam pişmemişti ve tatsızdı beğenmedim.,5.0,3.0,1.0,1605810343
Dürüm söyledim ekmek geldi 2 dürüm söyledim 1 salata göndermişler.,7.0,2.0,2.0,1605723943
Cok kötü.,1.0,1.0,1.0,1605723943
Çok lezzetliydi elinize sağlık.,10.0,10.0,10.0,1605723943
Hızlı geldi. Lezzetide iyiydi ama dürüme siz salata koymuşsunuz göndermişsiniz. Ayrıca lavaş parçalanıyor. Birkaç değişiklik yapılması gerekiyor. Bu şekilde müşteri kaybedersiniz.,10.0,4.0,10.0,1605637543
Kağıtla poşeti yeseydim daha iyidi kimse ekmeğinden olmasın ama paketci çok geç geldi ve yemek çok soğuktu.,3.0,2.0,3.0,1605637543
Cheddarli istedim normal yollamışlar sebzeli yazmışlar insan sote gibi ızgarada eziliyor diye düşünüyor salata koymuşlar içine hiç iyi bir lezzet yoktu.,6.0,6.0,3.0,1605637543
Adana kebabı beklerken resmen dürümün içine menemenlik koyulmuş. Adana kebabından çok kıymalı menemen yedik. Adana kebabı bu şekilde olmaz hele de bir adanalı ya bu yapılmaz bir daha sipariş vermeyeceğim.,4.0,1.0,1.0,1605637543
"Tavuk çok kuruydu. Chedarli dürümde chedar peyniri ya da andırabilecek herhangi bir sos yoktu. Adana dürümü de, kesinlikle tavsiye etmiyorum.",5.0,4.0,1.0,1605551143
Porsiyonlar çok küçük ve çok pahalı.,1.0,1.0,1.0,1605551143
Cok hizli geldi. Gayet de lezzetli ve doyurucuydu. Sadece adana durumun icerisine sos ya da salata fazla koyuldugu icin durum patlayabiliyor. Bir de chedar li tavuk donerde chedar yoktu ama lezzetliydi. Bunlara dikkat etmeniz haricinde aldiginiz puandan fazlasini hakettiginizi dusunuyorum.,10.0,8.0,9.0,1605551143
Adana dürüm aldım ve inanılmaz bir şekilde kötü kokuyordu resmen bozuk gibi kokuyodu rezalet bi görüntüsü vardı zaten kessinlikle ürün almayın tavsiyem.,4.0,2.0,1.0,1605464743
2 kere değiştirmelerini istedim ikisinde de yanlış dürüm gönderdiler açıklamaya yazdığım şeyi her detayına kadar vermeme rağmen önemsemediler. Bir daha nereden yemek sipariş etmemem gerektiğini öğrendiğim için iyi oldu sağ olun.,1.0,1.0,1.0,1605464743
1 saati geçti sipariş geliş süresi yanında biber vs felanda gelmedi sadece 2 dürüm.,1.0,2.0,4.0,1605464743
"Hız ve serviste sorun var, elma dilim patates yerine yağa doymuş şeklini anlamadığım bir patates geldi, cheddar tam erimemişti yanında gelen çiğ köfte aşırı ıslak ve şekil almaz bir bulgur bütünüydü joker nedeniyle sipariş verdim, bundan sonra düşünmüyorum.",2.0,1.0,5.0,1605378344
Çok azdı ve lezzetsizdi.,1.0,1.0,1.0,1605205544
Lezzet ve sıfır birde çok tuzlu idi.,3.0,3.0,2.0,1605119144
Lavaşınızı değiştirebilirsiniz ama yinede güzel denemeye değer puanlar için kusurabakmayın oluru oluruna verdim servis 6 olmasinin sebebi acı tursu biber istedim göndermemissiniz tavuk dönercide acı turşu biber olmasi lazim unutmus olabilirsiniz ama dedigim gibi denemeye deger ve gelisir.,10.0,6.0,9.0,1605119144
"Cheddarli dönerde chedarr yoktu, kumrunun malzemelesi aşırı boldu.",10.0,7.0,8.0,1605032744
Baska yerden siparis verin pisman olursunuz paraniza yazik.,1.0,1.0,1.0,1605032744
Allah affetsin ama son zamanlarda yediğim en berbat yemek olabilir.,1.0,1.0,1.0,1604946344
Efsaneden bir tık iyiydi.,10.0,10.0,10.0,1604859944
İçinde chedar sos yoktu.,10.0,8.0,3.0,1604859944
Chedarlı döner istedim ama sanırım usta sen chedarlısın demiş benim döner de inanmamış.,6.0,6.0,6.0,1604859944
Gayet lezzetli ve bol malzemeli bir o kadar da hızlı 2 adet adana yedim teşekkürler.,10.0,10.0,10.0,1604859944
Tek kelimeyle rezalet.,5.0,1.0,1.0,1604859944
Çift lavaş istedik gedi joker olmasına ramen iiyiydi kolay gesin.,10.0,10.0,10.0,1604773544
"Adana dürüm ve kuzu sis durum söyledim joker ile bilemiyorum bundanmidir, ikisinin içinde de soğan dometes etinden fazla olmuş melemen gibi bir şeydi artı sodexo posumuz arızalı diyerek nakit istemeside cabasi böyle bir işletme görmedim rezalet biraz insaf lütfen bir kere kandirirsiniz insanlari...",10.0,1.0,2.0,1604687144
Elinize sağlık teşekkürler.,10.0,10.0,10.0,1604687144
"Kasap mangal sucuk tostun, kasap sucuk ile alakası yok. Tostun içinde yer alan sucuk kasap sucuk değil, sıradan dilimli satılan sucuklardan.",6.0,4.0,3.0,1604687144
Tavuk dürümü güzel ama kumru çok kötü.,7.0,6.0,7.0,1604687144
Bu kadar çeşidi bu paraya göndermeniz ve bu kadar temiz olması.,10.0,10.0,10.0,1604600744
Fevkalade.,10.0,10.0,10.0,1604600744
Aldiği puanı sonuna kadar hakeden bir restorant.,1.0,1.0,1.0,1604514344
Ellerinize sağlık.,9.0,9.0,9.0,1604427944
Kumru söyledik kumrudan başka herşeye benziiyordu. Tatlısı çok kötü. 3 ayran gelecekti 1 ayran geldi. Birdaha asla sipariş vermem. Tavsiye etmiyorum.,1.0,1.0,1.0,1604427944
"Puanı düşük diye başta çekindim ancak, hızlı geldi ve lezzetliydi. Bazı yorumlarda acı olduğundan bahsedilmiş bu doğru, sanırım içine koydukları sivri biberle alakalı.",10.0,10.0,10.0,1604341544
"Kumru söyledim hızlı ve sıcak geldi, üstelik jokerle söyledim, patatesi unutmuş kurye arkadaş ben fark etmeden getirdi, kapıda kartla ödeme olsa çok daha iyi olurdu. Ben memnun kaldım,.",10.0,10.0,10.0,1604341544
Buyrun siz karar verin rezalet !,2.0,1.0,1.0,1604255144
Berbat kısaca.,1.0,1.0,1.0,1604255144
Şu işi bilmiyorsanız yapmayın.,10.0,8.0,1.0,1604168744
Joker indirim olduğu için ona göre porsiyon gönderilmiş memnun kalmadım birdaha söylemem.,1.0,1.0,1.0,1604082344
Süperdi her sey bayıldımmm.,10.0,10.0,10.0,1603995944
Elinize sağlık.,10.0,10.0,10.0,1603871798
"Acısız yazdım zehir gibi acılı geldi, para üstü gönderilsin yazmıştım 5 tl eksik verdiler, daha sonra bırakırız dediler.",6.0,1.0,1.0,1603871799
İ didnt like the order that much it was not the best like usual.,3.0,4.0,3.0,1603871799
Yemek sepetinde sipariş verdiğim en köyü yer olabilir. Etler pişmemişti. Lavaş ıslaktı pilavı yemeye hak getire zaten. Ve porsiyonları inanılmaz küçük. Sanki sadaka olsun diye koymuşlar gibi. Yani rezaletti.,5.0,1.0,1.0,1603871799
Kumrumu yedik ekmek arası plastik mi belli değil tadı ciklet gibiydi.,1.0,1.0,1.0,1603871799
"İki dürümde acısız istememize rağmen acılı geldi, sıcaklığı iyiydi, soğuk değildi. Fakat genel olarak lezzetini beğenmedim.",10.0,5.0,3.0,1603871799
Kurye arkadaş çok iyiydi siparişi zamanında da getirdi diyebilirim fakat yemek sıcak değildi ve eksik malzemeler vardı bunun yanı sıra soğansız istemiştim soğanlı geldi. Ayrıca tavuk şiş aldım oda 3-4 saat içinde bozuldu çöpe atmak zorunda kaldım lezzette baya kötüydü. Tavsiye etmiyorum.,8.0,1.0,1.0,1603871799
Elinize sağlık.,10.0,10.0,10.0,1603871799
Ellerinize sağlık bu işletme bu puanı haketmiyor.,9.0,9.0,9.0,1603871799
Acı ve kötü.,1.0,1.0,1.0,1603871799
Tavuk şiş istedim bozulmus et geldi pilav lapa. Kaç gündür tavuk yiyemiyorum bunlar yüzünden.,1.0,1.0,1.0,1603871799
Ayvalık tostu muhteşem olmuş.,10.0,10.0,10.0,1603871799
Ayvalık tostu muhteşem olmuş favorim sürekli siparişim kesinlikle bu.,10.0,10.0,10.0,1603871799
Paketleme ve lezzet gercekten berbattı bir daha asla söylemem.,1.0,1.0,1.0,1603871799
Kötü.,1.0,1.0,1.0,1603871799
Hava şartları kötü olmasına rağmen gayet çabuk ve sıcak geldi. Lezzeti fena degildi ancak adana çok yağlı ve malzemesi azdı (salata vs. ).,9.0,5.0,7.0,1603871799
Joker indirimi ile ek olarak pilav da aldım hiç zahmet edip koymasaydınız allah aşkına bu nedir ya!,5.0,3.0,3.0,1603871799
Soguk geldi icine tuz pecete koymamislar kayis gibi lavasin icinde buz gibi döner yedim teşekkürler.,7.0,2.0,2.0,1603871799
100 dakikada geldi. Poşetin içindeki her şey ıpıslaktı. Yemeksepetinden sipariş ettiğim en kötü yemekti.,1.0,1.0,1.0,1603871799
Normalde güzel ama döneri pişirmeden çiğ kesip göndermiştiniz dikkat edilmesi lazım.,9.0,8.0,1.0,1603871799
Yaklaşık 45 dakkada geldi servis yapılan yemek çok hamur ve sert lezzet iyi değil yazık verdiğim paraya.,3.0,1.0,1.0,1603871799
Sipariş eksik geldi. Ayran istedim gelmedi.,6.0,6.0,5.0,1603871799
0 olsa sıfır vericektin bir neredeyse 2saat sonra gelmesini geçiyorum sipariş eksikti. Rezalet ötesi.,1.0,1.0,1.0,1603871799
Cook memnun kaldıkk.,10.0,10.0,10.0,1603871799
Elinize sağlık teşekkürler lezzetliydi hızlıydı önceki siparişe göre.,10.0,10.0,10.0,1603871799
Çedar namına hic birşey yok.,1.0,1.0,1.0,1603871799
Elinize saglik.,10.0,10.0,10.0,1603871799
Emeğinize sağlık çok teşekkür ederim.,10.0,10.0,10.0,1603871799
Elinize sağlık çok güzeldi puanlar haksızca yapılmış.,10.0,10.0,10.0,1603871799
Uzun süredir bu kadar soğuk bir sipariş gelmemişti gerçekten hiç ısınmamış gibiydi.,8.0,7.0,2.0,1603871799
Diyecek hiç bişe bulamadim.. Berbat ötesi.,1.0,1.0,1.0,1603871800
"Porsiyonların 100grdan fazla olmasına sevinmiştim, ama yağ etten daha fazlaydı. Yağ miktarını azaltırsanız çok daha başarılı olacaktır. Yemek hızlı ve soğumadan gelmişti, bu tarz yemekler için bu da iyi bir durumdu, tek sorun yağ.",10.0,9.0,7.0,1603871800
Zile basmamasi konusunda not bırakmama rağmen gelince zile basan ve çocuklarımın uyanmasına sebep olup tekrar uyutmak için 1 saat harcadigim ve gelen yemeklerin de bu sürede buz gibi olması sebebiyle yiyemedigim çok dikkatli bir mesaj okuma sisteminiz var. Tesekkur ederim.,1.0,1.0,1.0,1603871800
"Konu hakkındaki düşüncelerim 3 heceden ibaret: re-za-letböyle devam etmeyin lütfen, biraz özen biraz emek gerek...",2.0,1.0,1.0,1603871800
Çok kötü.,8.0,1.0,1.0,1603871800
Bu saatte kapalı olmasına gerçekten üzüldüm. Ayrıca lezzet puanı nasıl ve neden bu kadar düşük cidden anlamadım. İlk fırsatta tekrar sipariş vereceğim yer.,10.0,10.0,10.0,1603871800
Bence bu işi yapmayın siz yemek sepeti iptal etmeli işbirliğini.,1.0,1.0,1.0,1603871800
Soguk.,1.0,1.0,1.0,1603871800
"Biraz gec geldi ama motorcu kardes de can tasıyor dikkat etsin kendine. , hayırlı işler..",10.0,10.0,9.0,1603871800
"Özellikle acısız seçtim acısından yiyemedim, coco-cola istedim fanta göndermişler, dürümün hamuru artık ıslak ıslak olmuş ve gönderdikleri patatesler yanık yanık önceden kızartılmış gibiydi. Bir daha tövbe yemem. Asla tavsiye etmiyorum!",1.0,1.0,1.0,1603871800
Hızlı geldi.,10.0,5.0,2.0,1603871800
Teşekkür ederim iyiydi.,10.0,10.0,10.0,1603871800
Hız normaldi 30dkda geldi lezzet çok iyi değil servis güzeldi.,8.0,10.0,6.0,1603871800
"Acı olmasın istedim acılı gelmiş, kola istedim şekersiz kola göndermişler, kazandibi istedim gelen şey sütlaçtı. Kurye yolu çok uzatmış heralde geldiğinde buz gibi kebap ve sıcacık şekersiz kola içtim. Dürümün lavaşı da artık hamur kıvamına gelmişti. Ama yine de lezzetini kaybetmemiş ellerinize sğlk.",7.0,7.0,9.0,1603871800
Dürüm çok güzeldi çok iyi kızarmış nerdeyse sıfır derisiz yalnız peynir yoktu sanırım unutmuşlar.,10.0,10.0,10.0,1603871800
Cheddarlı dürüm sipariş etmiştim ve cheddarsız yollamanıza hayran kaldım ne diyeyim yine de ellerinize sağlık.,10.0,10.0,6.0,1603871800
Ellerinize sağlık.,10.0,10.0,10.0,1603871800
Elinize sağlık teşekkürler lezzetliydi. Biraz daha hızlı olursa çok daha iyi olacak.,10.0,10.0,10.0,1603871800
Lezzetliydi. Teşekkürler.,10.0,10.0,10.0,1603871800
Hiç güzel degildi.,1.0,1.0,1.0,1603871800
Güzel.,10.0,10.0,10.0,1603871800
Adana fena değil ama döner kuruydu baya.,10.0,7.0,7.0,1603871800
Restorana zincir vurun niye bu işe girdiniz ki.,1.0,1.0,1.0,1603871800
Felaket.,1.0,3.0,1.0,1603871800
"Joker indirimim olduğu halde 10 lira fazla alındı, ayrıca cheddar peynirli diye sipariş ettim ama içinde cheddar peyniri adına bişey yoktu. Sanırım cheddar koyacakları zaman içlerinden hızlıca cheddar diyerek paketlemişler. İnanılmaz. Niye bu kadar düşük puanı var şimdi anlaşıldı.",7.0,3.0,5.0,1603871800
Cok lezzetliydi bayıldım.,10.0,10.0,10.0,1603871800
Çok kötüydü.,1.0,1.0,1.0,1603871800
"Etleri yakmışlar biraz közlü yedim ve tadını bozdu. Lezzeti iyi diyemem. 10 tl ye fırında sütlaç aldım, fırınlarına atarlar sandım, hazır ve tadı gayet kötü ucuz market sütlacı getirdiler. Beğenmedim.",6.0,5.0,5.0,1603871800
Çok teşekkür ederim inanılmaz lezzetliydi emeğinize sağlık.,10.0,10.0,10.0,1603871800
Rezillik.,1.0,1.0,1.0,1603871800
Güzel di yenir yani.,8.0,8.0,9.0,1603871801
"Porsiyonlar doyurucu ve tadı güzel. Tek sıkıntı yavaş gelmesi, soğuyunca biraz üzdü.",5.0,8.0,8.0,1603871801
Kesinlikle çok lezzetsiz 4 kişi yedik herkesin midesi bozuldu.,1.0,1.0,1.0,1603871801
Elinize sağlık iyiydi biraz daha hızlanırsa çok iyi olur.,10.0,10.0,10.0,1603871801
Bir litrelik ayran istedim onun yerine nohut pilav göndermişler bir saate anca geldi tat olarak idare ederdi.,3.0,4.0,5.0,1603871801
Sıcak ama lezzetsiz bir adana dürüm yedim.,1.0,1.0,1.0,1603871801
Hız sıfır gelen ürün hamur. Lezzeti iyi değil herhalde aceleye gelmiş.,1.0,1.0,1.0,1603871801
Tavuk tam pişmemişti.,7.0,1.0,1.0,1603871801
Haşlanmış soğanı dürümde ilk kez yedim. Beğenmedim kötüydü tadı.,10.0,10.0,3.0,1603871801
Bukadar kötü olamazya durumu resmen rastgele yapıp göndermişler ya lokantalikla alakası yok adamların.,1.0,1.0,1.0,1603871801
Pilav çiğdi tıkır tıkır mideme otordu resmen adana dürüm de adana tadı yoktu.,6.0,5.0,4.0,1603871801
Elinize sağlık hızlı ve sıcaktı teşekkür ederim.,10.0,10.0,10.0,1603871801
Lezzet konusunda daha yaratıcı şeyler yapıp sipariş aşamasında alternatif sunabilirler. Örneğin içine acı koymak yada ilave sos koymak gibi.,9.0,8.0,7.0,1603871801
Cok kötü... Paranızı çöpe atmak istiyorsaniz buyrun sipariş verin...,1.0,1.0,1.0,1603871801
Her şey için. Teşekkür ederim.,10.0,10.0,10.0,1603871801
Ayran söylememe rağmen gelmedi boşa 4 tl gitti.,8.0,1.0,7.0,1603871801
Yemekler soğuk olduğu için yenilmedi beğenmedim ürünler çöpe atıldı.,6.0,2.0,1.0,1603871801
Yemekleri efsane! Herkese tavsiye ediyorum..,10.0,10.0,10.0,1603871801
Çok lezzetliydi.,10.0,10.0,10.0,1603871801
Guzeldiiii ellerinize emeğinize sağlık.,10.0,10.0,10.0,1603871801
Yemeğin tadı çok kötü kola ve ayranla doydum yemeği yiyemedim.,2.0,1.0,1.0,1603871801
Keşke yaktığınız tavukları koymamış olsaydınız.,4.0,5.0,2.0,1603871801
Ne yedirdiniz bana? Aksam boyu karın ağrısı çektim. Berbat biseydi bu. Bırakın bu işi.,1.0,1.0,1.0,1603871801
"5 adet kolalı menü istedim, 2 adet kola göndermişler lezzeti de idare ederdi.",5.0,1.0,3.0,1603871801
Yaninda bir pecete bile getirmediler. Tursu bile parayla.,7.0,3.0,4.0,1603871801
Elinize sağlık teşekkürler her zaman ki gibi çok güzel.,10.0,10.0,10.0,1603871801
Çok kötü.,1.0,1.0,1.0,1603871801
Kotu yorumlara aldanmayin lezzet gayet iyi porsiyonlar baya büyük tam öğrenci mekanı fiyatlarda uygun daha ne olsun.,10.0,10.0,10.0,1603871801
Bir buçuk saatte geldi yemekte lezzet yol.,1.0,1.0,3.0,1603871801
Hızlı ve güzel di teşekkür ederiz.,10.0,10.0,10.0,1603871801
Tavuk diye gelen seyde kikirdaktan baska bir sey yemedik.,5.0,5.0,1.0,1603871802
Ysdiğim döner değil tavuk ızgaraydı oda kurumuş ve çok kötüydü. Pide harikaydı hakkını verryim. Ezme tuzdan yenilmiyordu. İnşlh dikkate alırsınız.,1.0,1.0,1.0,1603871802
Elinize sağlık çok lezzetliydi.,10.0,10.0,10.0,1603871802
Gayet hızlı ve güzeldi elinize sağlık..,10.0,10.0,10.0,1603871802
Yemek soğuk ve lezzetsiz geldi çok bekledim.,1.0,1.0,1.0,1603871802
Ustanız maaşından memnun değil heralde yoksa böyle rezil bir yiyecek hazırlamak için usta olmaya gerek yok. Yorumlara itimat etmeyip sipariş verdim ama kesinlikle haklı yorumlar.,1.0,1.0,1.0,1601242056
