comment_text,comment_speed,comment_service,comment_taste,comment_time
Şaşırılacak şekilde lezzetli ve iyi pişmişti.,9.0,9.0,9.0,1606660198
Hızlı ve lezzetliydi.,10.0,10.0,10.0,1606660198
"Daha kötü olamaz ya. O tavuk, o patates neydi?",1.0,1.0,1.0,1606487398
"Patates bozuktu, biber turşusu da sipariş etmiştim gelmedi. Dürüm güzeldi.",9.0,4.0,6.0,1606487398
Kuryenizden vazgeçmeyin tevsiyem çok güleryüzlü bir insan ismi ogün kolay gelsin :).,10.0,10.0,10.0,1606400998
Memnun kaldım. Teşekkür ederim.,9.0,9.0,7.0,1606400998
"Bence her şeyiyle mükemmel, sadece çedar miktarını biraz arttırabilirseniz çok daha güzel olur.",10.0,10.0,10.0,1606314598
Çift lavaş sipariş ettim ve ona göre ödedim ancak çift lavaş olarak gelmedi ve lavaşı çok inceydi. Onun dışında sorun yoktu.,9.0,5.0,8.0,1606314598
Döner kuru idi ve sossuzdu.,9.0,7.0,5.0,1606314598
50 dk geldi 2 dk yoldan.,1.0,1.0,1.0,1606314598
"Gerçekten burası güzel oldu, kalite ve tat arttı, bu şekilde devam ederler inşallah, daha çok sipariş vericem.",9.0,9.0,9.0,1606228198
Hızlı ve lezzetli.,10.0,10.0,10.0,1606228198
Favori mekanım herşey çok iyi.,10.0,10.0,10.0,1606141798
Her zamanki gibi süper.,10.0,10.0,10.0,1606055398
Boş lavaş yedim.,5.0,5.0,5.0,1606055398
Kurye kardeşim mermiden hızlıydı ellerinize sağlık.,10.0,10.0,10.0,1606055398
Bu kadar kuru katık mı olur. Kuru lavasin arasına kuru bir döner koy insanlara durum diye yuttur hemde katık diye. İki defa sipariş verdim ikiside aynı. Yada bana öyle denk geldi. Sipariş vermeden bir kere daha düşünün.,3.0,2.0,1.0,1606055398
Bu kadar da olmaz kupkuru. Katık demeye bin şahit ister.,6.0,3.0,3.0,1605968998
Sadece lavaş yedim içide olan az bir tavuğun tadı da lezzetli deildi.,7.0,7.0,4.0,1605968998
Dürümler çok kuru ve lezzetsizdi. Patates kızartması çok güzeldi.,8.0,6.0,5.0,1605968998
Bu puanı sadece ogün bey için veriyorum nezaketi hızlı teslimat bu dönemde maske kullanımına dikkati teşekkürlerimi iletiyorum kendisine.,10.0,10.0,10.0,1605968998
Gayet iyiydi.,8.0,8.0,8.0,1605796198
Et zurna istedim tavuk zurna geldi tavuk seven biriside değilim yiyemeden gitti çöpe.,10.0,1.0,1.0,1605796198
Sadece bana mı öyle geliyo bilmiyorum ama lavaş inanılmaz kalın ve içindeki tavuk döner yok denecek kadar az.,8.0,6.0,4.0,1605796198
Güzel.,10.0,8.0,8.0,1605796198
Her şey başarılı teşekkürler..,10.0,10.0,10.0,1605796198
Ogün mükemmel :d.,10.0,10.0,10.0,1605796198
5 dk da geldi kurye arkadaş çok iyi ve nazikti lezzet her zaman olduğu gibi çok güzeldi.,10.0,10.0,10.0,1605709798
"Çok iyi hizmet. Hızlı geliyor, dürüm ise sıcak ve lezzetli. Tavsiye edilir.",10.0,10.0,10.0,1605709798
Ogün kardesim siparisi verir vermez getirdi kuriyenizi cok beğendim emeğinize sağlık.,10.0,8.0,8.0,1605623398
Sadece tavuk donerleri guzel. Et doner icin 1 puan.,10.0,10.0,10.0,1605536999
Sıcak ve lezzetliydi.,10.0,10.0,10.0,1605536999
"Paket servisi hızlı, tavuk lezzetliydi...",9.0,9.0,9.0,1605450599
Cok teşekkür ederim tadı cok güzeldi.,7.0,10.0,9.0,1605450599
Hep iyiler.,10.0,10.0,10.0,1605364199
Lezzet güzeldi ancak soğuk geldi :) yine de lezzet için teşekkür ederim.,8.0,10.0,8.0,1605277799
Güzeldi.,9.0,9.0,9.0,1605191399
İlk defa bi siparişin patatesi yeni kızartılmış ve sıcacık geldikapıya gelen elemanınız ise kibar nazik biriydianlayacağınız bi daha yemek siparişlerimin hepsi buradan olacakbu arada yahyakaptan şubesi de birazcık sizden ders alsın hem lezzet hem nezaket açısından... Tek kelimeyle süpersiniz.,10.0,10.0,10.0,1605104999
Efe aygüne selamlar.,8.0,8.0,8.0,1605018599
Döner çok güzel fakat git gide o da zamnlanmaya başladı...,8.0,8.0,8.0,1605018599
Kuruyeniz sn. Emral canlı sayesinde dürüm sıcacıkken yedim teşekkürler.,10.0,10.0,10.0,1605018599
8 dkda geldi.,10.0,10.0,10.0,1604932199
Gramajı biraz az ama güzel.,10.0,8.0,8.0,1604932199
Servis kötü.,10.0,5.0,10.0,1604845799
Günlerimizin vazgeçilmez lezzeti oldun cadde katık döner teşekkürler.,10.0,10.0,10.0,1604759399
Gayet iyiydi.,10.0,10.0,10.0,1604759399
Döneri biraz daha fazla olsa 10 numara.,9.0,9.0,9.0,1604672999
Hiç güzel değildi bide biber turşusu koymamışsınız boru istedim normal dürüm geldi.,10.0,3.0,5.0,1604500199
Güzel.,9.0,9.0,9.0,1604500199
Kurye güler yüzlüydü ve geldiğinde hl sıcaktı doyurucu ve güzeldi.,10.0,10.0,10.0,1604413799
Emral kardeşim güler yüz ve hız için teşekkürler emeğine sağlık.,10.0,10.0,10.0,1604413799
Gayet iyi.,10.0,10.0,10.0,1604413799
Katık döneri getiren oğün bey teşekkür ederim o kadar hızlı geldi ki patatesler hala ateş gibi ağzım yandı ellerinize sağlık.,10.0,10.0,10.0,1604413799
Hızlı ve maskeli ogün.,10.0,10.0,10.0,1604327399
Güzeldi.,10.0,8.0,9.0,1604327399
Bu isletme cadde katıl adını lekeliyor 1. 5 etdoner sipariş verdim gelen ürün 1 porsiyon bile deyildi kıyaslamayı diğer cadde katıl siparişlerinden göre yaptım yakın diye burdan siparis verdim ama birdaha asla yanlışlık olabileceğini düşünerek firmayı aradım bizim 1. 5doner bu işinize geliyorsa dendi.,10.0,1.0,6.0,1604327399
Kuryeciniz emral kardeşimiz çok iyi güler yüzlü.,10.0,10.0,10.0,1604327399
Harika.,10.0,10.0,10.0,1604327399
İlk defa aldım. Kendimi gurme olarak görmüyorum ama fiyat performans olarak başarılı. Puanları olması gerekenin altında diye düşünüyorum.,10.0,10.0,10.0,1604240999
Hizmet mükemmel çok hızlı ve lezzetli.,10.0,10.0,10.0,1604240999
Odeme turu kredi karti sectik gelirken pos getirmemisler pos bozuk diye aranmadik bile e belki nakit param yok neyse vardi verdik bu sefer para ustu yok bozuk yok dedi boyle siparis mi gelir ya.,1.0,1.0,1.0,1604116853
Harika.,10.0,10.0,10.0,1604116853
Çok hızlı ve sıcak geldi teşekkürler (ogün).,10.0,10.0,10.0,1604116853
Yavas geldi.,1.0,1.0,1.0,1604116853
Kola ile katik ayni yere koyulmus katik sogumus ve lavas yanmisti.,2.0,1.0,1.0,1604116853
Ellerinize sağlık. Beğendğm.,10.0,10.0,10.0,1604116853
"Tam olarak paramın karşılığını aldığıma inanıyorum, teşekkürler.",10.0,10.0,10.0,1604116853
Notlarımı hep dikkate alıyorlar lezzeti de çok güzel teşekkür ederim.,10.0,10.0,10.0,1604116853
Sıcak ve lezzetli ).,10.0,10.0,10.0,1604116853
Hızlı geldi porsiyon güzel lezzet güzel.,10.0,9.0,9.0,1604116853
Tşkler güzeldi.,10.0,10.0,10.0,1604116853
Patatesler çıtır değil hiç son 4 siparişimde hiç memnun kalmadım. Sürümde yeterince sos yok.,10.0,5.0,5.0,1604116853
Daha iyilerini yapmıştınız ama bu sefer sevemedim.,10.0,8.0,7.0,1604116853
Çok güzeldi.,10.0,10.0,10.0,1604116853
Fazla güzel değildi.,6.0,6.0,6.0,1604116853
Tavuklu dürüm çok güzeldi. Ancak patates söylemeseydim daha iyiydi. Patates çıtır değildi klasik bir fast foodcularınki gibi olabilirdi en azından. Hem tuzsuz tatsız hem fazla yağlıydı birbirine yapışmıştı.,10.0,8.0,7.0,1604116853
Süper.,10.0,10.0,10.0,1604116853
Diğer şubelerden kat kat daha iyisiniz teşekkürler.,10.0,10.0,10.0,1604116853
Tek söyleyeceğim şey dürüm yanında gelen acı biberler çoook dikkat edin.,9.0,8.0,7.0,1604116853
"Siparişi getiren arkadaşlar adresi bulamadı adresi anlatmak için 10 takla attım. Yemekler de haliyle geç gelince soğudu, lezzetti kaçtı. Normalde böyle olmazdı, gelen arkadaşlar ödediniz mi sorusunu da eksik etmedi. Önceki siparişlerimde böyle bir şey yaşamamıştım...",1.0,6.0,5.0,1604116853
