comment_text,comment_speed,comment_service,comment_taste,comment_time
Kokoreç güzel ancak keşke yanında cin biber turşu falanda gönderseniz süper olacak teşekkürler.,10.0,10.0,10.0,1606335978
Çok kuru geldi. Soğuktu.,1.0,1.0,1.0,1606076778
Baya güzel di elinize sağlık.,10.0,10.0,10.0,1605817578
 hızlı ve sıcak geldi teşekkür ediyorum. Notumu dikkate almışlar kralsınız. :).,10.0,10.0,10.0,1605817578
Bayadir siparis vermiyordum fiyatlar artmis kalite lezzet dusmus.,5.0,5.0,5.0,1605731178
Ellerinize sağlık.,10.0,10.0,10.0,1605644778
Kokorecte degisik bir yag tadi vardi. Bu soguk havada sicak geldi ama. Belki agzimin tadi yoktu.,10.0,7.0,6.0,1605644778
20 midyeye yarim limon üzdü.,9.0,5.0,7.0,1605644778
Çok güzeldi teşekkürler şampiyon:).,10.0,10.0,10.0,1605385578
On numara beş yıldız.,10.0,10.0,10.0,1605385578
Her şey çok güzel di ıslak hamburger bambaşkaelinize sağlık.,10.0,10.0,10.0,1605385578
Ekmek arası köfte istedim tavuk geldi :)).,7.0,7.0,7.0,1605299178
Kokoreçi çok ince kıyım ve çeyrek porsiyon istedim gerçekten küçüktü.,6.0,7.0,6.0,1605212778
Gayet güzeldi puan niye böyle anlamadım.,10.0,10.0,10.0,1604953578
Kokoreç iyiydi fakat yanındaki patates kızartmaları haşlanmış gibiydi.,10.0,10.0,8.0,1604780778
10/10.,10.0,10.0,10.0,1604607978
Her şey çok güzel di elinize sağlık sıcak geldi kuriye ali beye kibarlıgından dolayı teşekkür ederim.,10.0,10.0,10.0,1604435178
Tadı ve hızı her zamankinden farklı değildi ancak paketin içinden ne turşu ne tuz hiçbir şey çıkmadı. Eskiden çıkıyordu bunlar.,8.0,4.0,8.0,1604435178
"Kokoreçte sıkıntı yoktu ama midyelerin tadı çok kötüydü, bozuk olma ihtimali var dikkatli sipariş verin.",8.0,5.0,2.0,1604435178
Midye çok kötüydü.,9.0,9.0,7.0,1604262378
Baştan savma yapılan yerken midye tavadan çok ekmeğin tadını aldığınız bir midye tava sandviç aksunun ne tadı var ne tuzu ayrıca kola 33ml yazıyor gelen kola 250 ml ıslak hamburgerler hayatımda gördüğüm en küçük ıslak hamburger.. Bir daha sipariş vermem..,8.0,1.0,1.0,1603879032
