comment_text,comment_speed,comment_service,comment_taste,comment_time
Tadı enfesti.,10.0,10.0,10.0,1606512173
Notlarına dikkat eden çok güzel bir işletme. Başarılarının devamını dilerim. Artık sık sık sipariş edeceğim.,10.0,10.0,10.0,1606512173
Merhabalar bu zor günlerde sizlere puan olarak destek vermeye çalışacağıziyi çalışmalar.,10.0,10.0,10.0,1606166573
Hamburger ekmeği çok iyiiçerik iyipatates iyi ama az sanki ya da ben çok açtım bilmiyorumservis hız iyi.,8.0,9.0,8.0,1605993773
İyiydi.,8.0,9.0,9.0,1605993773
Her seferinde mukemmel.,10.0,10.0,10.0,1605907373
Father burger istedim cheese burger geldi bence dikkat etmelisiniz.. Sipariş vermeden yorumları okudum birçok olumsuz yorum vardı bir deneyeyim dedim evet yorumlarda olduğu gibi köfte soğuktu...,7.0,7.0,7.0,1605734573
Çok geç geldi ilk ve son tercih edişimdi.,1.0,1.0,1.0,1605734573
İyidi.,10.0,10.0,10.0,1605734573
"Barn father söyledik, içinde dana füme yoktu. Ama çok da önemsemedik, lezzetliydi. Köftenin mangal usulü gibi olmasını sevdik (kokusu, tadı) ama herkes sevmeyebilir bir şekilde belirtilebilir detaylarda.",10.0,10.0,9.0,1605561773
Soğanlar biraz diri geldi. Ama yinede çok güzeldi elinize sağlık.,9.0,9.0,9.0,1605561773
Tadı güzeldi fakat biraz geç ve soğuk geldi. Menü içerisindeki kolayı da unutmuştunuz. Biraz dikkat etmeniz gerek. İyi çalışamalar.,7.0,10.0,10.0,1605475373
Belki sevenleri olacaktır ama kebap kıyma harcı ile hamburger pek iyi bir tad olmadı. Hamburger ekmeği çok güzeldi ama içindeki kebap tadında et olmamış.,8.0,6.0,4.0,1605475373
Mukemmel.,10.0,10.0,10.0,1605388973
"Patatesleri ve köftesi gayet başarılı... Gece siparişinden korkmayın, malzemeleri gayet taze.",10.0,10.0,10.0,1605043373
Cok iyidi yahu.,10.0,10.0,10.0,1605043373
Herşey çok güzeldi bayıla bayıla doya doya yedim ellerinize sağlık.,10.0,10.0,10.0,1604956973
"Tatli ikraminiz icin tesekkur ederim, ama hayalimde inegol koftesinin hamburger koftesine donusmesi yoktu :(.",9.0,9.0,6.0,1604956973
Gece olunca barn perileri gelir... Harikaydı!,10.0,10.0,10.0,1604956973
Cok soguk geldi.,1.0,7.0,6.0,1604870573
Et baya kokuyordu.,5.0,4.0,1.0,1604870573
Kapatın gidin kardeşim rezalet 1 buçuk saate donmus köfte geldi sandım.,1.0,1.0,1.0,1604870573
Gerçekten çok başarılı etinizin ve soslarınızın uyumu tek kelime ile harika severek yedim.,10.0,10.0,10.0,1604697773
Valla harika.,10.0,10.0,10.0,1604524973
Başarılı.,10.0,10.0,10.0,1604352173
Harika bir lezzet.,10.0,10.0,10.0,1604352173
Kömür ateşinde olmasından mı neyden anlamadım mangal lezzetine hamburger gerçekten bu işin hakkını veriyorsunuz.,10.0,10.0,10.0,1604265773
Her zamanki gibi muhteşemdi.,10.0,10.0,10.0,1604265773
"İlk denemeye göre lezzetli, sıcak ve hızlı.",10.0,10.0,10.0,1604006573
Tek kelimeyle mükemmel. Ekmekleri çok taze ve yumuşak ayrıca köftesi inanılmaz lezzetli. Net ankarada en iyi üçe girer. Ayrıca sıcak teslimat için teşekkür ederim. Restorant sahibi de ilgili ve çok kibar. Kötü yorumlara aldanmayın derim. Efsane.,10.0,10.0,10.0,1604006573
İlk siparişimdi memnun kaldım teşekkürler.,10.0,10.0,10.0,1603882427
Notları okusanız keşke.,5.0,5.0,5.0,1603882427
Çok güzeldi elinize sağlık :)))).,10.0,10.0,10.0,1603882427
Hamburgeriniz soğuk geliyor kral normalde 5puandı o hamburger ama seviyoruz sizi.,10.0,10.0,10.0,1603882427
Favori hamburgercim sizsiniz ellerinize sağlık yine bayıldım :).,10.0,10.0,10.0,1603882427
"Tadı çok kötü, geç geliyor.",1.0,6.0,1.0,1603882427
Ketçap mayonez ve kolonyalı mendili patateslerin üstüne koymuşlardı. Hijyenik olmayan bir durum.,1.0,3.0,8.0,1603882427
Muhtesem lezzet onerilir.,10.0,10.0,10.0,1603882427
Ellerinize sağlık çok begendık.,10.0,10.0,10.0,1603882427
4 dk lık mesafeden 52 dakikada buzzzzzz gibi patates ve burger geldi. Ben böyle bir tavuk burger görmedim dışı cıtır beklemeyin baya tava işi gibi. Menüde zaten içindekiler yazmıyor. Komsu komsuya bunu yapmaz ama haketmiyorsunuz. 1 1 1.,1.0,1.0,1.0,1603882427
Lezzeti bozmuyorsunuz.,10.0,10.0,10.0,1603882427
Herzamanki gibi lezzetliydi tesekkurler.,10.0,10.0,10.0,1603882427
Hakkını veriyorsunuz.,10.0,10.0,10.0,1603882427
Ankarada birçok hamburger yedim ama lezzeti baya iyi. Ayrıca porsiyonu da ideal kesinlikle denenmelii.,10.0,10.0,10.0,1603882427
Harika.,10.0,10.0,10.0,1603882427
Teslimatta hızlılar ve sıcak bir şekilde getiriyorlar. Ellerinize sağlık.,10.0,10.0,10.0,1603882427
Yorumlardaki beklentiyi karsilamiyor.,9.0,10.0,5.0,1603882427
"Hamburger ekmeği soğuk ve hamurlaşmıştı, etiniz lezzetli olmasına rağmen ekmekten dolayı hemen soğumuştu.",9.0,8.0,3.0,1603882427
"Cheeseburgerın cheesi yok denecek kadar azdı, gelen kurye para üstü yok paranın üstü borcum olsun dedi siparişi kabul etmem dediğimde para üstü verdi, ıslak mendil, ketçap vs aynı kapta yemek geldi hijyen kötü.",6.0,2.0,5.0,1603882427
Ellerinize sağlık kaliteyi bozmadan devam ediyorsunuz. Teşekkür ederim.,10.0,10.0,10.0,1603882427
Müşterisine değer veren bir işletme.,10.0,10.0,10.0,1603882427
Beklentimin üzerinde bir lezzet ve hızlı geldi teşekkürler.,10.0,10.0,10.0,1603882427
Hızlı lezzetli ve bu porsiyona göre uygun bir yer.,10.0,10.0,10.0,1603882427
Ankarada farklı mekanlarda yediğim onlarca burger arasında ilk üçe girer. Burger köftesinin bu kadar leziz olacağını düşünmemiştim. Tamamen barbekü etinin köftesinin tadına lezzetine varıyorsunuz. Teşekkürler ellerinize sağlık.,10.0,10.0,10.0,1603882427
En sevdiğim burgerci.,10.0,10.0,10.0,1603882427
Lezzetinize bayıldım gelme süresinde ufak biraz gecikme oldu ama olsun lezzetinden sıcaklığından hiç bir şey kaybetmemişti çok başarılı.,9.0,10.0,10.0,1603882427
Hayatımda aldıgım en kötü sipariş! 1- patates soguk geldi lezzet yok cok kötü2- hamburger soguk lezzetsiz eti kötü3- servis çok kötübir daha asla! Yakında batarsınız!,2.0,1.0,1.0,1603882427
Begendik.,10.0,10.0,10.0,1603882428
Cok gec geldi. Geldiginde soguktu. Degistirmeyi teklif ettiler ama ogle arasi icin istemistim. Mumkun degildi.,1.0,8.0,1.0,1603882428
Güzeldi elinize sağlık.,10.0,10.0,10.0,1603882428
Bağımlısı olduk ellerinize sağlık :)).,10.0,10.0,10.0,1603882428
Gayet başarılı. Ekmeğiniz biraz büyük ama güzel olmuş. Elinize sağlık.,10.0,10.0,10.0,1603882428
"Slince of burger mi aynen abi, sizin burger yüzünden bizimde şeflere kötü lafdan dolayı gidemiyecğimiz yer. Cennette hamburgeriiz gibi sesziz olcaktır umarım tavuk yoksa arayın söyleyin normalde 1 porsiyon olcak tavuğu ikiye bölüp 2hamburgere dağıtmışıınız resmen tavuklar buz ekmek sıcak patates iyi.",1.0,1.0,1.0,1603882428
Kralsınız aw.,10.0,10.0,10.0,1603882428
Guzel.,6.0,10.0,10.0,1603882428
Enfestoo bayıldııım.,10.0,10.0,10.0,1603882428
Bağımlısı olduğum lezzet. Çok lezzetli.,10.0,10.0,10.0,1603882428
İlk defa denedim başarılı bir hamburgerdi.,10.0,8.0,9.0,1603882428
Mudaviminiz olduk :).,10.0,10.0,10.0,1603882428
Harika.,10.0,10.0,10.0,1603882428
Çok lezzetli tşk :).,10.0,10.0,10.0,1603882428
"Ekmek bayat, kola yanlış, evime 150 m olmasına rağmen buz gibi geldi. Sadece bayat ekmek tadı aldım. Ne köfte ne sos ne de diğer malzemelerin tadı vardı.",1.0,1.0,1.0,1603882428
Sıcak ve hızlı geldi lezet ortalamanın üzerindeydi.,10.0,10.0,10.0,1603882428
Çok geç geldi ve soğuktu.,1.0,3.0,1.0,1603882428
Sosik niye koymadınız.,1.0,1.0,1.0,1603882428
"İlk siparişimdi, 1 saat 10 dk da ve soğuk geldi, barn father burger söyledim fakat olması gerekenler içinde yoktu, cheddar peyniri double değil tek koyulmuş, karamelize soğan ve dana füme hiç koyulmamış, ve malesef çok lezzetsizdi, 2 kola istedim 1 adet şekersiz geldi, kötü bi deneyim oldu, bol şans.",3.0,1.0,1.0,1603882428
Harikaydı parmaklarınızı isirdik :).,10.0,10.0,10.0,1603882428
Sipariş notlarına gösterilen özen için teşekkürler.,10.0,10.0,10.0,1603882428
Lezizdi.,10.0,10.0,10.0,1603882428
Et çiğ pişmemiş ve soğuk. Yakın olduğu halde 1 saatten fazla sürdü gelmesi.,1.0,1.0,1.0,1603882428
Tuzu dısında güzeldi.,8.0,8.0,8.0,1603882428
Gecenin geç saatlerinde verdiğiniz mukemmel hizmet için teşekkürler. Allah sıze kolaylık versin.,10.0,10.0,10.0,1603882428
Seviyoruz sizi.,10.0,10.0,10.0,1603882428
Kesinlikle önermiyorum 55 dk da geldi siparişim..,1.0,1.0,1.0,1603882428
3 de 3 güzeldi :).,10.0,10.0,10.0,1603882428
Acayip bişey.,10.0,10.0,10.0,1603882428
Ben bu burgeri seviyorum.,10.0,10.0,10.0,1603882429
Kupkuru.,10.0,10.0,5.0,1603882429
Nice nice nice.,10.0,10.0,10.0,1603882429
Harika kurye arkadaşa ayrı teşekkür ediyorum kibarlıgından dolayı.,10.0,10.0,10.0,1603882429
Süperrr.,10.0,10.0,10.0,1603882429
A good burger. Very large portions. I got a double burger hut next time ill get a single. Very good.,9.0,10.0,10.0,1603882429
Vazgecilmez tat.,10.0,10.0,10.0,1603882429
Gayet güzel böyle devam.,10.0,10.0,10.0,1603882429
Siparişler hızlı geliyor. Yeni açılan yerlerden yerken şüphe ederim lezzet için ama beklediğimin çok çok üstündeydi.,10.0,10.0,10.0,1603882429
Şahane.,10.0,10.0,10.0,1603882429
Guzeldi elinize sağlık.,10.0,10.0,10.0,1603882429
Lezzet her damağa hitap etmesede bi çok kişinin sevebiliceği bir lezzet fakat hız konusunda ciddi sıkıntıları var.,4.0,9.0,9.0,1603882429
İlk siparişimizde soğan halkamız eksik gelmişti sonraki 5 siprarişimizde belirtiğimiz halde restoran soğan halkamızın telafisini yapmadı.,10.0,5.0,10.0,1603882429
"Hamburger kupkuruydu, patatesler, soğan halkası ve hamburger bile buz gibiydi, çok geç geldi. Kuryeniz maskesiz ve kabaydi. Sırf buradaki puanlamaniza göre söyledim. İnanılmaz pişman oldum.",1.0,1.0,1.0,1603882429
"Eti yanmış ve aşırı tuzlu, sipariş zaten 1 saatte soğuk geliyor. Bugüne kadar sipariş verdiğim en kötü burger. Bir daha asla sipariş vermeyeceğim bir yer.",1.0,5.0,1.0,1603882429
Aşırı kuruydu. Nasıl böyle bir hamburger gönderebilirsiniz?,6.0,7.0,3.0,1603882429
Gayet iyisiniz.,9.0,9.0,9.0,1603882429
Burgerleriniz başlarda da iyiydi ama şimdi süper. Patatesler her zaman efsane.,10.0,10.0,10.0,1603882429
Soğan halkası bittiği için 9lu soğan halkamız yerine extra kutu kola geldi. Restoran zaten madur olan müşteriye kıyak yapmalı kola extra patates gibi. Lezzet güzeldi.,10.0,8.0,10.0,1603882429
Bayıldım! Çok hızlı geldi ve lezzetli.,10.0,10.0,10.0,1603882429
Sizden ilk defa sipariş vermiştim. Lezzeti harikaa ve çok kısa sürede adresime teslimat yapıldı. Artık yeni favorimsiniz :) 10dan daha fazla puan hakediyorsunuz.,10.0,10.0,10.0,1603882429
Güzel ama bu fiyata sizinkinden çok çok daha güzel burger yapan yerler var ya kendinizi geliştirmelisiniz ya da fiyatları düşürmelisiniz.,9.0,9.0,7.0,1603882429
Çok hızlı geldi ve cok nazikler.,10.0,10.0,10.0,1603882429
Tek kelimeyle harika lezzetini çok beğendim patatesler sıcak geldi sevdim böyle olursa hep burdan alıcam galiba daha ne olsun.,10.0,10.0,10.0,1603882429
"Lezzet konusunda kimsenin şüphesi olmasın ben çok beğendim, elinize, emeğinize sağlık, işlerinde usta oldukları kesin, tadı damağımda kaldı. Burger denildiğin de nereye gideceğim belli oldu. Menüleri de oldukça zengin.",10.0,10.0,10.0,1603882429
Şu patatesi biraz daha koysanız keşke.,10.0,10.0,10.0,1603882429
Ekmeğine bayıldım.,10.0,10.0,10.0,1603882429
Harika.,10.0,10.0,10.0,1603882429
